vertices,cubes,threads,frame,updateVBO,startup
2000000,250000,1,11.7429,0,532.578
2000000,250000,1,11.7366,0,467.817
2000000,250000,1,11.4639,0,458.356
2000000,250000,1,11.2533,0,454.444
2000000,250000,1,12.0304,0,461.001
2000000,250000,1,12.0512,0,452.821
2000000,250000,1,11.4641,0,451.119
2000000,250000,1,12.1529,0,460.844
2000000,250000,1,11.3513,0,457.517
2000000,250000,1,11.2504,0,451.772
2000000,250000,1,11.5545,0,460.272
2000000,250000,1,11.492,0,454.956
2000000,250000,1,11.5786,0,456.944
2000000,250000,1,12.1793,0,454.051
2000000,250000,1,11.6091,0,453.713
2000000,250000,1,12.2269,0,459.016
2000000,250000,1,12.3016,0,454.78
2000000,250000,1,11.8914,0,458.085
2000000,250000,1,12.2143,0,455.436
2000000,250000,1,12.0718,0,453.407
2000000,250000,1,11.5016,0,457.168
2000000,250000,1,12.0689,0,453.068
2000000,250000,1,11.6616,0,540.152
2000000,250000,1,11.4168,0,461.007
2000000,250000,1,11.9321,0,453.568
2000000,250000,1,11.8523,0,445.938
2000000,250000,1,11.5501,0,458.648
2000000,250000,1,11.5645,0,451.246
2000000,250000,1,11.5871,0,455.954
2000000,250000,1,11.7769,0,453.85
2000000,250000,1,12.1189,0,452.65
2000000,250000,1,11.1489,0,463.216
2000000,250000,1,11.9773,0,454.818
2000000,250000,1,11.9524,0,452.998
2000000,250000,1,12.0604,0,456.482
2000000,250000,1,11.6646,0,453.388
2000000,250000,1,12.1767,0,460.089
2000000,250000,1,11.8493,0,453.261
2000000,250000,1,11.7923,0,453.837
2000000,250000,1,12.0983,0,456.935
2000000,250000,1,11.5362,0,451.346
2000000,250000,1,11.9152,0,457.66
2000000,250000,1,14.712,0,456.23
2000000,250000,1,11.2056,0,452.752
2000000,250000,1,11.5592,0,459.054
2000000,250000,1,13.4185,0,451.699
2000000,250000,1,11.2366,0,451.678
2000000,250000,1,11.999,0,476.885
2000000,250000,1,11.5874,0,452.874
2000000,250000,1,11.263,0,456.711
2000000,250000,1,11.341,0,458.615
2000000,250000,1,11.1915,0,451.987
2000000,250000,1,11.9762,0,486.02
2000000,250000,1,11.3022,0,454.637
2000000,250000,1,11.8771,0,449.812
2000000,250000,1,11.7658,0,458.804
2000000,250000,1,11.2902,0,452.32
2000000,250000,1,11.8751,0,458.531
2000000,250000,1,11.4639,0,449.71
2000000,250000,1,11.3752,0,456.294
2000000,250000,1,11.9043,0,457.709
2000000,250000,1,11.5032,0,451.586
2000000,250000,1,11.2996,0,452.64
2000000,250000,1,11.8668,0,458.43
2000000,250000,1,12.1713,0,451.748
2000000,250000,1,11.4395,0,463.15
2000000,250000,1,11.9493,0,464.903
2000000,250000,1,11.5834,0,450.275
2000000,250000,1,11.952,0,482.087
2000000,250000,1,11.2973,0,448.674
2000000,250000,1,11.6646,0,453.717
2000000,250000,1,12.0646,0,455.879
2000000,250000,1,11.399,0,452.041
2000000,250000,1,12.1327,0,471.017
2000000,250000,1,11.6524,0,518.505
2000000,250000,1,12.4748,0,460.829
2000000,250000,1,12.5256,0,791.559
2000000,250000,1,13.0008,0,508.498
2000000,250000,1,12.5974,0,709.102
2000000,250000,1,12.0762,0,546.172
2000000,250000,1,11.9554,0,505.913
2000000,250000,1,11.2486,0,508.836
2000000,250000,1,12.4164,0,527.471
2000000,250000,1,11.9239,0,484.884
2000000,250000,1,11.7564,0,517.9
2000000,250000,1,11.5042,0,456.317
2000000,250000,1,11.4423,0,450.237
2000000,250000,1,11.984,0,458.66
2000000,250000,1,11.4512,0,475.214
2000000,250000,1,11.4523,0,457.318
2000000,250000,1,11.8947,0,452.892
2000000,250000,1,11.5133,0,448.764
2000000,250000,1,11.1408,0,463.798
2000000,250000,1,11.7606,0,449.143
2000000,250000,1,11.4025,0,460.569
2000000,250000,1,11.1466,0,451.576
2000000,250000,1,11.9267,0,467.207
2000000,250000,1,11.8618,0,501.544
2000000,250000,1,12.4141,0,452.968
2000000,250000,1,12.1379,0,454.602
2000000,250000,2,11.2946,0,444.614
2000000,250000,2,11.6695,0,463.044
2000000,250000,2,11.2568,0,450.508
2000000,250000,2,11.4839,0,441.532
2000000,250000,2,11.6249,0,448.858
2000000,250000,2,11.8958,0,467.643
2000000,250000,2,11.3343,0,439.02
2000000,250000,2,11.3525,0,441.398
2000000,250000,2,12.2077,0,447.241
2000000,250000,2,12.1249,0,498.951
2000000,250000,2,11.2049,0,446.585
2000000,250000,2,11.8454,0,439.76
2000000,250000,2,11.7122,0,453.186
2000000,250000,2,11.8114,0,463.511
2000000,250000,2,11.4212,0,446.032
2000000,250000,2,12.0925,0,446.569
2000000,250000,2,11.9556,0,450.744
2000000,250000,2,12.1329,0,447.177
2000000,250000,2,11.2627,0,443.815
2000000,250000,2,11.1136,0,440.355
2000000,250000,2,12.6052,0,502.744
2000000,250000,2,11.2752,0,484.838
2000000,250000,2,12.0936,0,443.418
2000000,250000,2,12.1399,0,441.704
2000000,250000,2,12.1418,0,441.359
2000000,250000,2,11.4784,0,482.34
2000000,250000,2,11.6262,0,447.472
2000000,250000,2,11.4469,0,441.142
2000000,250000,2,11.178,0,496.759
2000000,250000,2,11.4192,0,447.811
2000000,250000,2,12.3268,0,444.95
2000000,250000,2,12.0167,0,449.696
2000000,250000,2,12.2358,0,441.155
2000000,250000,2,11.9806,0,450.894
2000000,250000,2,12.4028,0,452.524
2000000,250000,2,11.2304,0,440.762
2000000,250000,2,11.2749,0,448.833
2000000,250000,2,11.1303,0,446.492
2000000,250000,2,11.7076,0,438.671
2000000,250000,2,11.3485,0,463.1
2000000,250000,2,11.8404,0,439.074
2000000,250000,2,11.4225,0,494.858
2000000,250000,2,11.6674,0,451.533
2000000,250000,2,11.875,0,437.162
2000000,250000,2,11.2857,0,440.896
2000000,250000,2,12.0473,0,462.54
2000000,250000,2,11.1963,0,443.39
2000000,250000,2,12.092,0,463.377
2000000,250000,2,12.2812,0,438.943
2000000,250000,2,11.2522,0,453.006
2000000,250000,2,11.6394,0,467.675
2000000,250000,2,11.2013,0,442.896
2000000,250000,2,12.144,0,442.389
2000000,250000,2,11.479,0,446.849
2000000,250000,2,11.8632,0,485.819
2000000,250000,2,12.0174,0,450.804
2000000,250000,2,11.2121,0,446.046
2000000,250000,2,11.6267,0,457.407
2000000,250000,2,11.3989,0,456.701
2000000,250000,2,11.9594,0,442.161
2000000,250000,2,11.8809,0,442.31
2000000,250000,2,11.3692,0,446.186
2000000,250000,2,11.8799,0,455.286
2000000,250000,2,11.8952,0,455.311
2000000,250000,2,11.4587,0,457.48
2000000,250000,2,11.7814,0,451.337
2000000,250000,2,11.7752,0,450.76
2000000,250000,2,11.7949,0,439.39
2000000,250000,2,11.2076,0,447.408
2000000,250000,2,11.9265,0,440.666
2000000,250000,2,12.1705,0,452.32
2000000,250000,2,12.0117,0,448.834
2000000,250000,2,11.9023,0,445.594
2000000,250000,2,11.1016,0,451.519
2000000,250000,2,11.972,0,446.881
2000000,250000,2,14.064,0,591.042
2000000,250000,2,11.3616,0,446.758
2000000,250000,2,12.1786,0,441.703
2000000,250000,2,11.217,0,453.527
2000000,250000,2,11.1392,0,465.636
2000000,250000,2,11.5714,0,444.91
2000000,250000,2,12.2671,0,443.748
2000000,250000,2,12.2836,0,451.581
2000000,250000,2,11.643,0,464.822
2000000,250000,2,11.9608,0,448.226
2000000,250000,2,12.0548,0,440.607
2000000,250000,2,12.0448,0,450.41
2000000,250000,2,11.6697,0,470.004
2000000,250000,2,11.898,0,443.757
2000000,250000,2,12.1688,0,447.741
2000000,250000,2,12.0283,0,449.233
2000000,250000,2,14.3419,0,447.534
2000000,250000,2,11.2407,0,450.134
2000000,250000,2,12.1692,0,456.492
2000000,250000,2,12.1094,0,454.787
2000000,250000,2,12.0764,0,458.698
2000000,250000,2,11.4089,0,446.146
2000000,250000,2,11.891,0,441.557
2000000,250000,2,12.0248,0,450.415
2000000,250000,2,11.9518,0,442.282
2000000,250000,3,11.9962,0,474.13
2000000,250000,3,11.2741,0,442.93
2000000,250000,3,12.0301,0,451.272
2000000,250000,3,12.151,0,449.27
2000000,250000,3,11.2425,0,441.981
2000000,250000,3,11.3795,0,443.95
2000000,250000,3,11.837,0,441.455
2000000,250000,3,12.1647,0,450.984
2000000,250000,3,12.0107,0,449.058
2000000,250000,3,11.4111,0,444.132
2000000,250000,3,11.2404,0,456.022
2000000,250000,3,11.1961,0,446.503
2000000,250000,3,11.6374,0,454.773
2000000,250000,3,11.5968,0,452.833
2000000,250000,3,12.119,0,445.687
2000000,250000,3,11.4899,0,456.872
2000000,250000,3,13.3987,0,449.156
2000000,250000,3,11.3888,0,445.262
2000000,250000,3,12.0395,0,447.517
2000000,250000,3,12.0635,0,455.206
2000000,250000,3,13.2778,0,446.212
2000000,250000,3,11.9061,0,451.457
2000000,250000,3,11.7739,0,441.468
2000000,250000,3,11.7284,0,449.32
2000000,250000,3,12.0371,0,516.813
2000000,250000,3,11.96,0,443.554
2000000,250000,3,11.137,0,441.69
2000000,250000,3,12.103,0,445.861
2000000,250000,3,9.39621,0,459.418
2000000,250000,3,9.45025,0,451.505
2000000,250000,3,11.9627,0,442.345
2000000,250000,3,11.7965,0,473.908
2000000,250000,3,11.7206,0,467.846
2000000,250000,3,11.6811,0,447.194
2000000,250000,3,11.7393,0,439.491
2000000,250000,3,11.1933,0,453.175
2000000,250000,3,12.3639,0,463
2000000,250000,3,11.4422,0,450.31
2000000,250000,3,11.8179,0,442.422
2000000,250000,3,11.2107,0,434.906
2000000,250000,3,11.1744,0,447.983
2000000,250000,3,11.1128,0,436.146
2000000,250000,3,11.0853,0,432.326
2000000,250000,3,11.1286,0,438.692
2000000,250000,3,11.0877,0,456.847
2000000,250000,3,11.1546,0,441.537
2000000,250000,3,10.9554,0,455.564
2000000,250000,3,11.113,0,434.977
2000000,250000,3,11.2882,0,446.637
2000000,250000,3,11.2194,0,434.408
2000000,250000,3,11.0998,0,433.951
2000000,250000,3,11.0754,0,438.995
2000000,250000,3,11.0165,0,435.599
2000000,250000,3,11.0427,0,442.585
2000000,250000,3,11.2716,0,440.752
2000000,250000,3,11.0326,0,440.75
2000000,250000,3,11.0045,0,438.919
2000000,250000,3,11.1762,0,440.095
2000000,250000,3,11.3042,0,440.182
2000000,250000,3,11.4015,0,457.517
2000000,250000,3,10.9956,0,437.846
2000000,250000,3,11.181,0,433.71
2000000,250000,3,11.1861,0,440.934
2000000,250000,3,10.9749,0,437.191
2000000,250000,3,11.1509,0,439.596
2000000,250000,3,11.1179,0,434.34
2000000,250000,3,11.2644,0,445.091
2000000,250000,3,11.1226,0,458.638
2000000,250000,3,11.2503,0,436.135
2000000,250000,3,11.2193,0,434.695
2000000,250000,3,11.1125,0,449.447
2000000,250000,3,11.1534,0,435.79
2000000,250000,3,11.0252,0,434.883
2000000,250000,3,11.1985,0,444.355
2000000,250000,3,11.0328,0,488.408
2000000,250000,3,11.2036,0,441.792
2000000,250000,3,11.0417,0,437.67
2000000,250000,3,11.2818,0,435.492
2000000,250000,3,11.3236,0,463.692
2000000,250000,3,11.0233,0,434.106
2000000,250000,3,11.1051,0,434.583
2000000,250000,3,11.0299,0,440.888
2000000,250000,3,11.0261,0,437.489
2000000,250000,3,10.9997,0,446.363
2000000,250000,3,11.2629,0,433.433
2000000,250000,3,11.3337,0,433.141
2000000,250000,3,11.2501,0,441.922
2000000,250000,3,11.0192,0,438.194
2000000,250000,3,11.2405,0,537.179
2000000,250000,3,11.3054,0,513.734
2000000,250000,3,12.1189,0,496.605
2000000,250000,3,11.1063,0,510.554
2000000,250000,3,11.0959,0,512.148
2000000,250000,3,11.6552,0,535.047
2000000,250000,3,11.1512,0,514.489
2000000,250000,3,11.7196,0,442.755
2000000,250000,3,12.1506,0,449.8
2000000,250000,3,14.0706,0,453.882
2000000,250000,3,11.4567,0,448.188
2000000,250000,3,11.7281,0,449.598
2000000,250000,4,11.4909,0,430.073
2000000,250000,4,11.4331,0,436.19
2000000,250000,4,12.2696,0,445.793
2000000,250000,4,11.4036,0,437.471
2000000,250000,4,12.0426,0,483.727
2000000,250000,4,11.0884,0,437.829
2000000,250000,4,12.2539,0,439.395
2000000,250000,4,11.7029,0,455.81
2000000,250000,4,11.9028,0,433.526
2000000,250000,4,11.6011,0,435.524
2000000,250000,4,11.9854,0,444.869
2000000,250000,4,11.6084,0,441.918
2000000,250000,4,11.2878,0,440.987
2000000,250000,4,11.4256,0,434.603
2000000,250000,4,11.3416,0,437.013
2000000,250000,4,11.8999,0,455.71
2000000,250000,4,11.4511,0,437.321
2000000,250000,4,12.0863,0,436.724
2000000,250000,4,11.4222,0,438.218
2000000,250000,4,11.7153,0,438.308
2000000,250000,4,11.8671,0,442.562
2000000,250000,4,11.5078,0,434.758
2000000,250000,4,11.5415,0,433.784
2000000,250000,4,11.8151,0,438.923
2000000,250000,4,12.004,0,435.791
2000000,250000,4,11.9788,0,435.136
2000000,250000,4,11.9363,0,444.472
2000000,250000,4,11.5978,0,437.758
2000000,250000,4,11.8602,0,443.167
2000000,250000,4,11.4936,0,434.406
2000000,250000,4,11.473,0,434.837
2000000,250000,4,12.1447,0,440.884
2000000,250000,4,12.093,0,434.298
2000000,250000,4,11.3131,0,433.568
2000000,250000,4,11.5131,0,443.228
2000000,250000,4,12.0093,0,442.687
2000000,250000,4,12.0469,0,443.774
2000000,250000,4,11.3508,0,443.595
2000000,250000,4,12.0453,0,433.52
2000000,250000,4,11.8635,0,442.174
2000000,250000,4,12.095,0,437.229
2000000,250000,4,12.1737,0,435.183
2000000,250000,4,11.3833,0,445.509
2000000,250000,4,11.6528,0,438.983
2000000,250000,4,12.1969,0,444.101
2000000,250000,4,11.4098,0,449.561
2000000,250000,4,11.2495,0,450.44
2000000,250000,4,11.8293,0,444.339
2000000,250000,4,11.9881,0,432.744
2000000,250000,4,11.1506,0,432.575
2000000,250000,4,12.045,0,441.81
2000000,250000,4,11.5456,0,434.946
2000000,250000,4,11.495,0,441.767
2000000,250000,4,12.0977,0,433.714
2000000,250000,4,11.9827,0,438.732
2000000,250000,4,12.1592,0,440.844
2000000,250000,4,12.0586,0,435.763
2000000,250000,4,11.1966,0,433.769
2000000,250000,4,12.1624,0,443.186
2000000,250000,4,11.536,0,434.855
2000000,250000,4,11.9098,0,439.763
2000000,250000,4,12.1954,0,440.936
2000000,250000,4,11.8546,0,441.453
2000000,250000,4,11.851,0,443.185
2000000,250000,4,11.3342,0,434.772
2000000,250000,4,12.0774,0,448.898
2000000,250000,4,12.0514,0,442.112
2000000,250000,4,11.4669,0,433.556
2000000,250000,4,12.2352,0,442.427
2000000,250000,4,11.842,0,434.042
2000000,250000,4,12.0297,0,475.366
2000000,250000,4,11.9955,0,438.488
2000000,250000,4,12.0286,0,435.307
2000000,250000,4,12.0125,0,438.901
2000000,250000,4,11.479,0,447.296
2000000,250000,4,11.339,0,438.561
2000000,250000,4,11.8136,0,441.724
2000000,250000,4,11.3006,0,438.109
2000000,250000,4,13.7135,0,436.71
2000000,250000,4,11.9149,0,442.845
2000000,250000,4,11.9613,0,449.503
2000000,250000,4,11.8615,0,431.81
2000000,250000,4,11.1801,0,446.881
2000000,250000,4,11.9038,0,439.567
2000000,250000,4,11.1462,0,514.676
2000000,250000,4,11.495,0,507.257
2000000,250000,4,12.0552,0,443.683
2000000,250000,4,12.1431,0,443.17
2000000,250000,4,11.2466,0,435.287
2000000,250000,4,11.5109,0,444.787
2000000,250000,4,11.8327,0,439.637
2000000,250000,4,11.3391,0,433.712
2000000,250000,4,11.9811,0,444.961
2000000,250000,4,12.1197,0,439.358
2000000,250000,4,11.3001,0,436.885
2000000,250000,4,11.4082,0,460.509
2000000,250000,4,12.0659,0,437.399
2000000,250000,4,11.6625,0,444.138
2000000,250000,4,12.089,0,435.237
2000000,250000,4,11.0655,0,436.507
